"year";"ccode";"cname";"ccodealp";"bicc_milexp";"bs_ee";"bs_h";"bti_aar";"bti_ci";"bti_cr";"bti_eo";"bti_foe";"bti_pdi";"bti_pp";"bti_su";"bti_wr";"ciri_assn";"ciri_dommov";"ciri_formov";"epi_access";"epi_eh";"eu_demmlifexpt";"eu_heamdochthab";"eu_heamdocnr";"eu_heamdocp";"ffp_fsi";"ffp_hf";"ffp_ps";"ffp_ref";"fh_pr";"gsd_fr";"hf_govint";"lis_gini";"oecd_doctor_g3";"oecd_evogdp_t1";"sgi_enen";"sgi_so";"sgi_soed";"sgi_sofa";"sgi_sogi";"sgi_sohe";"sgi_soin";"sgi_sope";"sgi_sosi";"sgi_sosl";"wdi_expedu";"wdi_expeduge";"wdi_expedup";"wdi_expedus";"wdi_exph";"wdi_idpvc";"wdi_idpvp";"wdi_refasy";"wdi_refori";"wdi_spr";"wef_ias";"wel_coc";"wvs_hap";"Applied"
2011;440;"Lithuania";"LTU";4.68;NA;NA;10;1;9;9;9;10;9.75;8.5;8;1;2;2;100;84.26;73.7;"439.81";"13327";"227.37";44.2;4.4;3.1;2.9;1;0.865623660522932;49;NA;13.4399995803833;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.12227010726929;12.336350440979;15.2392101287842;40.4160499572754;6.85596808;NA;NA;821;528;NA;5.71904240952381;0.548024332;NA;1
2015;440;"Lithuania";"LTU";4.93;7.46316274138087;5.3770467149921;10;1;9;9;9;10;9.5;9;8.5;NA;NA;NA;100;87.91;74.6;"464.39";"13490";"215.34";42.4;4.1;3.7;2.4;1;0.850192884697814;57;NA;NA;NA;7.49568890964072;6.18451136559686;6.91036683176488;6.2929415604175;4.59281437125748;5.68551063047169;8.05382258230006;6.38759228165578;5.5069660245717;6.04607664233577;NA;NA;NA;NA;NA;NA;NA;1093;144;NA;5.9851236076066;NA;NA;6
2011;442;"Luxembourg";"LUX";4.29;5.50976389774112;8.20508415351956;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;85.15;81.1;"304.43";"1578";"328.48";25.5;1.8;1.6;2.1;1;NA;82;NA;0;2.01232981681824;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.3409169;NA;NA;2855;NA;NA;5.84564884337349;0.933514204;NA;10
2015;442;"Luxembourg";"LUX";4.35;6.29632313842369;7.8843063728316;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;84.35;82.4;"311.8";"1776";"320.72";24.1;1.8;2.3;3.7;1;NA;80;NA;0;3.53235745429993;6.33992809016708;7.32299902968026;5.587668894035;7.13920851913428;9.5;7.49047496932264;7.04408750901313;6.75447881492436;7.71865534783094;7.34941818318168;NA;NA;NA;NA;NA;NA;NA;1332;2;NA;5.6276081711559;NA;NA;640
2011;470;"Malta";"MLT";4.41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;88.96;80.9;"324.24";"1351";"308.41";43.8;4.4;2.6;5.1;1;NA;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.75177001953125;18.8913993835449;14.7876396179199;64.5828094482422;9.59870689;NA;NA;6952;6;NA;6.03144571111111;0.666902095;NA;124
2015;470;"Malta";"MLT";4.35;4.30749761332981;7.00009337356234;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;93.04;81.9;"390.62";"1687";"256";39.6;3.9;2.2;4.1;1;NA;56;NA;NA;NA;5.13961094848944;5.33797780547677;4.71151195407678;5.86968082664893;2.80838323353293;6.50039858700289;4.8988748865137;5.16100741147258;5.92054888623214;6.83341665833417;NA;NA;NA;NA;NA;NA;NA;7075;1;NA;5.63290088744391;NA;NA;415
2011;499;"Montenegro";"MNE";5.18;NA;NA;9;2;8;7;6;7;8;5.5;7;1;2;2;100;85.07;76.1;NA;"1259";NA;55.5;2.7;3.9;4.2;3;NA;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.92483198;NA;NA;12874;3698;NA;4.52956063248408;0.457781044;NA;1
2015;499;"Montenegro";"MNE";5.05;NA;NA;9;2;8;7;6;8;7.75;6;7;NA;NA;NA;100;87.57;76.5;"239.49";"1490";"417.56";55.2;3.7;3.3;4.8;3;NA;44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1771;651;NA;4.26828257251718;NA;NA;996
2011;528;"Netherlands";"NLD";4.89;6.29534575212658;7.6995626879513;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;79.42;81.3;"313.27";"52295";"319.21";28.1;2.5;1.8;2.7;1;0.902271753107587;89;NA;14.710000038147;1.66362631320953;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.52555990219116;11.7650098800659;23.6946601867676;40.2388305664063;10.52716599;NA;NA;74598;64;NA;6.30243376935484;0.931267873;NA;198
2015;528;"Netherlands";"NLD";4.81;6.17575964690743;7.8074698840572;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;82.02;81.6;NA;NA;NA;28.2;2.3;1.2;4;1;0.880625803686241;83;NA;NA;1.95171105861664;4.94894899723409;7.10570422691443;6.14721727546788;7.59569582214215;7.59580838323353;6.34902192566604;7.1852983502017;7.31332448538451;7.15063406157078;7.50863351164883;NA;NA;NA;NA;NA;NA;NA;88536;69;NA;6.13374164146289;NA;NA;18731
2011;578;"Norway";"NOR";5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;97.76;81.4;"476.81";"23617";"209.73";23.9;1.5;1.7;1.8;1;0.980497213887698;86;NA;11.4700002670288;0.968780159950256;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.46073007583618;15.0109300613403;25.9556102752686;35.2384910583496;9.13551098;NA;NA;40691;7;NA;5.92900290756303;0.934737523;NA;356
2015;578;"Norway";"NOR";5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;97.81;82.4;"512.9500000000001";"26615";"194.95";21.2;1.3;1.1;3;1;0.926275182168881;86;NA;NA;1.61102712154388;7.51471850804009;7.89154056946208;6.62402110400862;8.43079153869503;9;7.01301797157565;7.26931482351286;8.15961596281723;8.31690127127561;8.31866188381162;NA;NA;NA;NA;NA;NA;NA;50389;12;NA;6.27698411184644;NA;NA;10801
